Opportunity Name,CloseDate,Stage
Opp_Name_01,5/15/2024,Prospecting
Opp_Name_02,5/16/2024,Prospecting
Opp_Name_03,5/17/2024,Prospecting
Opp_Name_04,5/18/2024,Prospecting
Opp_Name_05,5/19/2024,Prospecting
Opp_Name_06,5/20/2024,Prospecting
Opp_Name_07,5/21/2024,Prospecting
Opp_Name_08,5/15/2024,Prospecting
Opp_Name_09,5/16/2024,Prospecting
Opp_Name_10,5/17/2024,Prospecting
Opp_Name_11,5/18/2024,Prospecting
Opp_Name_12,5/19/2024,Prospecting
Opp_Name_13,5/20/2024,Prospecting
Opp_Name_14,5/21/2024,Prospecting
Opp_Name_15,5/15/2024,Prospecting
Opp_Name_16,5/16/2024,Prospecting
Opp_Name_17,5/17/2024,Prospecting
Opp_Name_18,5/15/2024,Prospecting
Opp_Name_19,5/16/2024,Prospecting
Opp_Name_20,5/17/2024,Prospecting
Opp_Name_21,5/18/2024,Prospecting
Opp_Name_22,5/19/2024,Prospecting
Opp_Name_23,5/20/2024,Prospecting
Opp_Name_24,5/21/2024,Prospecting
Opp_Name_25,5/15/2024,Prospecting
Opp_Name_26,5/16/2024,Prospecting
Opp_Name_27,5/17/2024,Prospecting
Opp_Name_28,5/18/2024,Prospecting
Opp_Name_29,5/19/2024,Prospecting
Opp_Name_30,5/20/2024,Prospecting
Opp_Name_31,5/21/2024,Prospecting
Opp_Name_32,5/15/2024,Prospecting
Opp_Name_33,5/16/2024,Prospecting
Opp_Name_34,5/17/2024,Prospecting
Opp_Name_35,5/15/2024,Prospecting
Opp_Name_36,5/16/2024,Prospecting
Opp_Name_37,5/17/2024,Prospecting
Opp_Name_38,5/18/2024,Prospecting
Opp_Name_39,5/19/2024,Prospecting
Opp_Name_40,5/20/2024,Prospecting
Opp_Name_41,5/21/2024,Prospecting
Opp_Name_42,5/15/2024,Prospecting
Opp_Name_43,5/16/2024,Prospecting
Opp_Name_44,5/17/2024,Prospecting
Opp_Name_45,5/18/2024,Prospecting
Opp_Name_46,5/19/2024,Prospecting
Opp_Name_47,5/20/2024,Prospecting
Opp_Name_48,5/21/2024,Prospecting
Opp_Name_49,5/15/2024,Prospecting
Opp_Name_50,5/16/2024,Prospecting
