"Opportunity Name","CloseDate","Stage","ERROR"
"Opp_Name_01","2024-05-15","Prospecting","close date should be appropriate"
"Opp_Name_02","2024-05-16","Prospecting","close date should be appropriate"
"Opp_Name_03","2024-05-17","Prospecting","close date should be appropriate"
"Opp_Name_04","2024-05-18","Prospecting","close date should be appropriate"
"Opp_Name_05","2024-05-19","Prospecting","close date should be appropriate"
"Opp_Name_06","2024-05-20","Prospecting","close date should be appropriate"
"Opp_Name_07","2024-05-21","Prospecting","close date should be appropriate"
"Opp_Name_08","2024-05-15","Prospecting","close date should be appropriate"
"Opp_Name_09","2024-05-16","Prospecting","close date should be appropriate"
"Opp_Name_10","2024-05-17","Prospecting","close date should be appropriate"
"Opp_Name_11","2024-05-18","Prospecting","close date should be appropriate"
"Opp_Name_12","2024-05-19","Prospecting","close date should be appropriate"
"Opp_Name_13","2024-05-20","Prospecting","close date should be appropriate"
"Opp_Name_14","2024-05-21","Prospecting","close date should be appropriate"
"Opp_Name_15","2024-05-15","Prospecting","close date should be appropriate"
"Opp_Name_16","2024-05-16","Prospecting","close date should be appropriate"
"Opp_Name_17","2024-05-17","Prospecting","close date should be appropriate"
"Opp_Name_18","2024-05-15","Prospecting","close date should be appropriate"
"Opp_Name_19","2024-05-16","Prospecting","close date should be appropriate"
"Opp_Name_20","2024-05-17","Prospecting","close date should be appropriate"
"Opp_Name_21","2024-05-18","Prospecting","close date should be appropriate"
"Opp_Name_22","2024-05-19","Prospecting","close date should be appropriate"
"Opp_Name_23","2024-05-20","Prospecting","close date should be appropriate"
"Opp_Name_24","2024-05-21","Prospecting","close date should be appropriate"
"Opp_Name_25","2024-05-15","Prospecting","close date should be appropriate"
"Opp_Name_26","2024-05-16","Prospecting","close date should be appropriate"
"Opp_Name_27","2024-05-17","Prospecting","close date should be appropriate"
"Opp_Name_28","2024-05-18","Prospecting","close date should be appropriate"
"Opp_Name_29","2024-05-19","Prospecting","close date should be appropriate"
"Opp_Name_30","2024-05-20","Prospecting","close date should be appropriate"
"Opp_Name_31","2024-05-21","Prospecting","close date should be appropriate"
"Opp_Name_32","2024-05-15","Prospecting","close date should be appropriate"
"Opp_Name_33","2024-05-16","Prospecting","close date should be appropriate"
"Opp_Name_34","2024-05-17","Prospecting","close date should be appropriate"
"Opp_Name_35","2024-05-15","Prospecting","close date should be appropriate"
"Opp_Name_36","2024-05-16","Prospecting","close date should be appropriate"
"Opp_Name_37","2024-05-17","Prospecting","close date should be appropriate"
"Opp_Name_38","2024-05-18","Prospecting","close date should be appropriate"
"Opp_Name_39","2024-05-19","Prospecting","close date should be appropriate"
"Opp_Name_40","2024-05-20","Prospecting","close date should be appropriate"
"Opp_Name_41","2024-05-21","Prospecting","close date should be appropriate"
"Opp_Name_42","2024-05-15","Prospecting","close date should be appropriate"
"Opp_Name_43","2024-05-16","Prospecting","close date should be appropriate"
"Opp_Name_44","2024-05-17","Prospecting","close date should be appropriate"
"Opp_Name_45","2024-05-18","Prospecting","close date should be appropriate"
"Opp_Name_46","2024-05-19","Prospecting","close date should be appropriate"
"Opp_Name_47","2024-05-20","Prospecting","close date should be appropriate"
"Opp_Name_48","2024-05-21","Prospecting","close date should be appropriate"
"Opp_Name_49","2024-05-15","Prospecting","close date should be appropriate"
"Opp_Name_50","2024-05-16","Prospecting","close date should be appropriate"
"","","","Required fields are missing: [Name, StageName, CloseDate]"
