"ID","Name","Rating","Type","AnnualRevenue","Employees","Description","STATUS"
"001dL000006AQgzQAG","Demo_acc_01","Warm","Prospect","100000","150","Inseterd","Item Created"
"001dL000006AQh0QAG","Demo_acc_02","Warm","Prospect","100000","150","Inseterd","Item Created"
"001dL000006AQh1QAG","Demo_acc_03","Warm","Prospect","100000","150","Inseterd","Item Created"
"001dL000006AQh2QAG","Demo_acc_04","Warm","Prospect","100000","150","Inseterd","Item Created"
"001dL000006AQh3QAG","Demo_acc_05","Warm","Prospect","100000","150","Inseterd","Item Created"
"001dL000006AQh4QAG","Demo_acc_06","Warm","Prospect","100000","150","Inseterd","Item Created"
"001dL000006AQh5QAG","Demo_acc_07","Warm","Prospect","100000","150","Inseterd","Item Created"
"001dL000006AQh6QAG","Demo_acc_08","Warm","Prospect","100000","150","Inseterd","Item Created"
"001dL000006AQh7QAG","Demo_acc_09","Warm","Prospect","100000","150","Inseterd","Item Created"
"001dL000006AQh8QAG","Demo_acc_10","Warm","Prospect","97342","150","Inseterd","Item Created"
"001dL000006AQh9QAG","Demo_acc_11","Warm","Prospect","97342","150","Inseterd","Item Created"
"001dL000006AQhAQAW","Demo_acc_12","Warm","Prospect","97342","150","Inseterd","Item Created"
"001dL000006AQhBQAW","Demo_acc_13","Warm","Prospect","97342","150","Inseterd","Item Created"
"001dL000006AQhCQAW","Demo_acc_14","Hot","Prospect","97342","150","Inseterd","Item Created"
"001dL000006AQhDQAW","Demo_acc_15","Hot","Prospect","97342","150","Inseterd","Item Created"
"001dL000006AQhEQAW","Demo_acc_16","Hot","Prospect","97342","150","Inseterd","Item Created"
"001dL000006AQhFQAW","Demo_acc_17","Hot","Prospect","97342","150","Inseterd","Item Created"
"001dL000006AQhGQAW","Demo_acc_18","Hot","Prospect","97342","150","Inseterd","Item Created"
"001dL000006AQhHQAW","Demo_acc_19","Hot","Prospect","97342","150","Inseterd","Item Created"
"001dL000006AQhIQAW","Demo_acc_20","Hot","Prospect","97342","150","Inseterd","Item Created"
"001dL000006AQhJQAW","Demo_acc_21","Hot","Prospect","97342","150","Inseterd","Item Created"
"001dL000006AQhKQAW","Demo_acc_22","Hot","Prospect","87600","150","Inseterd","Item Created"
"001dL000006AQhLQAW","Demo_acc_23","Hot","Prospect","87600","150","Inseterd","Item Created"
"001dL000006AQhMQAW","Demo_acc_24","Hot","Prospect","87600","150","Inseterd","Item Created"
"001dL000006AQhNQAW","Demo_acc_25","Hot","Prospect","87600","150","Inseterd","Item Created"
"001dL000006AQhOQAW","Demo_acc_26","Hot","Prospect","87600","150","Inseterd","Item Created"
"001dL000006AQhPQAW","Demo_acc_27","Hot","Prospect","87600","150","Inseterd","Item Created"
"001dL000006AQhQQAW","Demo_acc_28","Hot","Prospect","87600","150","Inseterd","Item Created"
"001dL000006AQhRQAW","Demo_acc_29","Hot","Channel Partner / Reseller","87600","150","Inseterd","Item Created"
"001dL000006AQhSQAW","Demo_acc_30","Hot","Channel Partner / Reseller","87600","150","Inseterd","Item Created"
"001dL000006AQhTQAW","Demo_acc_31","Hot","Channel Partner / Reseller","87600","150","Inseterd","Item Created"
"001dL000006AQhUQAW","Demo_acc_32","Hot","Channel Partner / Reseller","87600","150","Inseterd","Item Created"
"001dL000006AQhVQAW","Demo_acc_33","Cold","Channel Partner / Reseller","87600","150","Inseterd","Item Created"
"001dL000006AQhWQAW","Demo_acc_34","Cold","Channel Partner / Reseller","87600","150","Inseterd","Item Created"
"001dL000006AQhXQAW","Demo_acc_35","Cold","Channel Partner / Reseller","87600","150","Inseterd","Item Created"
"001dL000006AQhYQAW","Demo_acc_36","Cold","Channel Partner / Reseller","87600","150","Inseterd","Item Created"
"001dL000006AQhZQAW","Demo_acc_37","Cold","Channel Partner / Reseller","87600","150","Inseterd","Item Created"
"001dL000006AQhaQAG","Demo_acc_38","Cold","Channel Partner / Reseller","87600","150","Inseterd","Item Created"
"001dL000006AQhbQAG","Demo_acc_39","Cold","Channel Partner / Reseller","23900","150","Inseterd","Item Created"
"001dL000006AQhcQAG","Demo_acc_40","Cold","Channel Partner / Reseller","23900","150","Inseterd","Item Created"
"001dL000006AQhdQAG","Demo_acc_41","Cold","Channel Partner / Reseller","23900","150","Inseterd","Item Created"
"001dL000006AQheQAG","Demo_acc_42","Cold","Channel Partner / Reseller","23900","150","Inseterd","Item Created"
"001dL000006AQhfQAG","Demo_acc_43","Cold","Channel Partner / Reseller","23900","150","Inseterd","Item Created"
"001dL000006AQhgQAG","Demo_acc_44","Cold","Channel Partner / Reseller","23900","150","Inseterd","Item Created"
"001dL000006AQhhQAG","Demo_acc_45","Cold","Channel Partner / Reseller","23900","150","Inseterd","Item Created"
"001dL000006AQhiQAG","Demo_acc_46","Cold","Channel Partner / Reseller","23900","150","Inseterd","Item Created"
"001dL000006AQhjQAG","Demo_acc_47","Cold","Channel Partner / Reseller","23900","150","Inseterd","Item Created"
"001dL000006AQhkQAG","Demo_acc_48","Cold","Channel Partner / Reseller","23900","150","Inseterd","Item Created"
"001dL000006AQhlQAG","Demo_acc_49","Cold","Channel Partner / Reseller","23900","150","Inseterd","Item Created"
"001dL000006AQhmQAG","Demo_acc_50","Cold","Channel Partner / Reseller","23900","150","Inseterd","Item Created"
