"ID","Opportunity Name","CloseDate","Stage","STATUS"
"006dL0000014CB7QAM","Opp_Name_01","2024-05-15","Prospecting","Item Created"
"006dL0000014CB8QAM","Opp_Name_02","2024-05-16","Prospecting","Item Created"
"006dL0000014CB9QAM","Opp_Name_03","2024-05-17","Prospecting","Item Created"
"006dL0000014CBAQA2","Opp_Name_04","2024-05-18","Prospecting","Item Created"
"006dL0000014CBBQA2","Opp_Name_05","2024-05-19","Prospecting","Item Created"
"006dL0000014CBCQA2","Opp_Name_06","2024-05-20","Prospecting","Item Created"
"006dL0000014CBDQA2","Opp_Name_07","2024-05-21","Prospecting","Item Created"
"006dL0000014CBEQA2","Opp_Name_08","2024-05-15","Prospecting","Item Created"
"006dL0000014CBFQA2","Opp_Name_09","2024-05-16","Prospecting","Item Created"
"006dL0000014CBGQA2","Opp_Name_10","2024-05-17","Prospecting","Item Created"
"006dL0000014CBHQA2","Opp_Name_11","2024-05-18","Prospecting","Item Created"
"006dL0000014CBIQA2","Opp_Name_12","2024-05-19","Prospecting","Item Created"
"006dL0000014CBJQA2","Opp_Name_13","2024-05-20","Prospecting","Item Created"
"006dL0000014CBKQA2","Opp_Name_14","2024-05-21","Prospecting","Item Created"
"006dL0000014CBLQA2","Opp_Name_15","2024-05-15","Prospecting","Item Created"
"006dL0000014CBMQA2","Opp_Name_16","2024-05-16","Prospecting","Item Created"
"006dL0000014CBNQA2","Opp_Name_17","2024-05-17","Prospecting","Item Created"
"006dL0000014CBOQA2","Opp_Name_18","2024-05-15","Prospecting","Item Created"
"006dL0000014CBPQA2","Opp_Name_19","2024-05-16","Prospecting","Item Created"
"006dL0000014CBQQA2","Opp_Name_20","2024-05-17","Prospecting","Item Created"
"006dL0000014CBRQA2","Opp_Name_21","2024-05-18","Prospecting","Item Created"
"006dL0000014CBSQA2","Opp_Name_22","2024-05-19","Prospecting","Item Created"
"006dL0000014CBTQA2","Opp_Name_23","2024-05-20","Prospecting","Item Created"
"006dL0000014CBUQA2","Opp_Name_24","2024-05-21","Prospecting","Item Created"
"006dL0000014CBVQA2","Opp_Name_25","2024-05-15","Prospecting","Item Created"
"006dL0000014CBWQA2","Opp_Name_26","2024-05-16","Prospecting","Item Created"
"006dL0000014CBXQA2","Opp_Name_27","2024-05-17","Prospecting","Item Created"
"006dL0000014CBYQA2","Opp_Name_28","2024-05-18","Prospecting","Item Created"
"006dL0000014CBZQA2","Opp_Name_29","2024-05-19","Prospecting","Item Created"
"006dL0000014CBaQAM","Opp_Name_30","2024-05-20","Prospecting","Item Created"
"006dL0000014CBbQAM","Opp_Name_31","2024-05-21","Prospecting","Item Created"
"006dL0000014CBcQAM","Opp_Name_32","2024-05-15","Prospecting","Item Created"
"006dL0000014CBdQAM","Opp_Name_33","2024-05-16","Prospecting","Item Created"
"006dL0000014CBeQAM","Opp_Name_34","2024-05-17","Prospecting","Item Created"
"006dL0000014CBfQAM","Opp_Name_35","2024-05-15","Prospecting","Item Created"
"006dL0000014CBgQAM","Opp_Name_36","2024-05-16","Prospecting","Item Created"
"006dL0000014EYTQA2","Opp_Name_37","2024-05-17","Prospecting","Item Created"
"006dL0000014EYUQA2","Opp_Name_38","2024-05-18","Prospecting","Item Created"
"006dL0000014EYVQA2","Opp_Name_39","2024-05-19","Prospecting","Item Created"
"006dL0000014EYWQA2","Opp_Name_40","2024-05-20","Prospecting","Item Created"
"006dL0000014EYXQA2","Opp_Name_41","2024-05-21","Prospecting","Item Created"
"006dL0000014EYYQA2","Opp_Name_42","2024-05-15","Prospecting","Item Created"
"006dL0000014EYZQA2","Opp_Name_43","2024-05-16","Prospecting","Item Created"
"006dL0000014EYaQAM","Opp_Name_44","2024-05-17","Prospecting","Item Created"
"006dL0000014EYbQAM","Opp_Name_45","2024-05-18","Prospecting","Item Created"
"006dL0000014EYcQAM","Opp_Name_46","2024-05-19","Prospecting","Item Created"
"006dL0000014EYdQAM","Opp_Name_47","2024-05-20","Prospecting","Item Created"
"006dL0000014EYeQAM","Opp_Name_48","2024-05-21","Prospecting","Item Created"
"006dL0000014EYfQAM","Opp_Name_49","2024-05-15","Prospecting","Item Created"
"006dL0000014EYgQAM","Opp_Name_50","2024-05-16","Prospecting","Item Created"
